,0
0,442.02673
1,441.98422
2,441.95087
3,441.9323
4,441.9297
5,441.93964
6,441.95673
7,441.97562
8,441.99344
9,442.01013
10,442.02823
11,442.05054
12,442.07822
13,442.10944
14,442.1393
15,442.16113
16,442.16846
17,442.15735
18,442.1279
19,442.08444
20,442.0343
21,441.98566
22,441.94476
23,441.91406
24,441.89157
25,441.8717
26,441.84772
27,441.81403
28,441.76807
29,441.711
30,441.64645
31,441.57892
32,441.51172
33,441.4465
34,441.38342
35,441.32224
36,441.26358
37,441.20874
38,441.15915
39,441.1151
40,441.07507
41,441.0352
42,440.98975
43,440.9324
44,440.85696
45,440.75873
46,440.63538
47,440.48773
48,440.3197
49,440.13818
50,439.95114
51,439.7661
52,439.58762
53,439.41614
54,439.2479
55,439.0759
56,438.89212
57,438.69003
58,438.46667
59,438.2237
60,437.96677
61,437.7035
62,437.44052
63,437.18027
64,436.91965
65,436.65033
66,436.36163
67,436.04398
68,435.69293
69,435.31155
70,434.91113
71,434.50854
72,434.1224
73,433.76825
74,433.4547
75,433.18158
76,432.94025
77,432.71606
78,432.49228
79,432.25446
80,431.99454
81,431.7133
82,431.42038
83,431.1325
84,430.86884
85,430.64694
86,430.47855
87,430.36722
88,430.30835
89,430.29074
90,430.29984
91,430.32068
92,430.3409
93,430.3516
94,430.34708
95,430.32455
96,430.2831
97,430.2234
98,430.14774
99,430.06055
100,429.96777
101,443.03003
102,443.03162
103,443.03064
104,443.0244
105,443.0109
106,442.9889
107,442.95825
108,442.91992
109,442.87573
110,442.82822
111,442.7804
112,442.73538
113,442.6963
114,442.66537
115,442.64316
116,442.62772
117,442.61377
118,442.5932
119,442.55637
120,442.49405
121,442.40012
122,442.27237
123,442.1133
124,441.92896
125,441.72726
126,441.5162
127,441.3025
128,441.09027
129,440.8812
130,440.67465
131,440.46906
132,440.26312
133,440.05698
134,439.85263
135,439.65378
136,439.46436
137,439.28693
138,439.12088
139,438.9609
140,438.79654
141,438.61267
142,438.39133
143,438.11444
144,437.76685
145,437.33963
146,436.83136
147,436.2484
148,435.6016
149,434.90057
150,434.1474
151,433.33057
152,432.42383
153,431.3902
154,430.19162
155,428.80057
156,427.21014
157,425.4388
158,423.5273
159,421.5301
160,419.50272
161,417.49155
162,415.5271
163,413.62366
164,411.78366
165,410.00427
166,408.28317
167,406.62253
168,405.02896
169,403.51276
170,402.0848
171,400.7545
172,399.52774
173,398.40695
174,397.3912
175,396.47806
176,395.66455
177,394.9484
178,394.32767
179,393.80054
180,393.36444
181,393.01572
182,392.74887
183,392.55664
184,392.42996
185,392.3582
186,392.32993
187,392.33447
188,392.36307
189,392.4097
190,392.47122
191,392.54633
192,392.63474
193,392.73633
194,392.85202
195,392.98462
196,393.13934
197,393.32294
198,393.54126
199,393.7957
200,394.0805
201,394.38327
202,442.48172
203,442.5032
204,442.523
205,442.53876
206,442.54855
207,442.55115
208,442.5467
209,442.53726
210,442.52646
211,442.5185
212,442.51718
213,442.52417
214,442.53876
215,442.55746
216,442.5749
217,442.58484
218,442.5814
219,442.56046
220,442.52103
221,442.46573
222,442.40063
223,442.33423
224,442.2756
225,442.23212
226,442.20752
227,442.20126
228,442.20807
229,442.2199
230,442.2271
231,442.2216
232,442.1982
233,442.15646
234,442.10062
235,442.03867
236,441.97998
237,441.93228
238,441.89832
239,441.87363
240,441.84634
241,441.79898
242,441.7124
243,441.57104
244,441.36755
245,441.10556
246,440.7995
247,440.47162
248,440.14636
249,439.84445
250,439.57825
251,439.34946
252,439.1503
253,438.96713
254,438.78528
255,438.59442
256,438.3923
257,438.18625
258,437.99112
259,437.82474
260,437.702
261,437.62943
262,437.60208
