,0
0,245.50793
1,245.52925
2,245.5501
3,245.57028
4,245.5899
5,245.6097
6,245.63045
7,245.65327
8,245.67865
9,245.70615
10,245.7346
11,245.76202
12,245.78653
13,245.80779
14,245.82693
15,245.84793
16,245.87662
17,245.92015
18,245.98582
19,246.0804
20,246.21013
21,246.38153
22,246.60342
23,246.88824
24,247.25104
25,247.70721
26,248.26671
27,248.92792
28,249.67302
29,250.4674
30,251.26602
31,252.02373
32,252.70862
33,253.30995
34,253.83694
35,254.3081
36,254.73523
37,255.11395
38,255.42497
39,255.64569
40,255.76538
41,255.79239
42,255.75313
43,255.68228
44,255.61194
45,255.56393
46,255.54692
47,255.55963
48,255.59525
49,255.64555
50,255.70401
51,255.76494
52,255.82304
53,255.87228
54,255.9073
55,255.92485
56,255.92621
57,255.91696
58,255.90587
59,255.90201
60,255.91159
61,255.93665
62,255.97472
63,256.01938
64,256.0636
65,256.1016
66,256.13232
67,256.16037
68,256.19492
69,256.24612
70,256.32043
71,256.41605
72,256.52283
73,256.62506
74,256.70773
75,256.76334
76,256.79514
77,256.81616
78,256.84375
79,256.89087
80,256.96008
81,257.04138
82,257.11514
83,257.16058
84,257.16565
85,257.13394
86,257.08377
87,257.0373
88,257.0065
89,256.9845
90,256.95233
91,256.89548
92,256.81668
93,256.73404
94,256.66473
95,256.60898
96,256.5477
97,256.45505
98,256.3167
99,256.138
100,255.9395
101,247.40585
102,247.44304
103,247.49153
104,247.5586
105,247.65344
106,247.78653
107,247.96768
108,248.2034
109,248.49593
110,248.84169
111,249.23132
112,249.6502
113,250.0791
114,250.4966
115,250.88315
116,251.22476
117,251.51578
118,251.75975
119,251.96628
120,252.14746
121,252.3138
122,252.47145
123,252.62079
124,252.7573
125,252.87456
126,252.96611
127,253.0295
128,253.0666
129,253.08414
130,253.09251
131,253.104
132,253.1303
133,253.17996
134,253.25723
135,253.36058
136,253.4826
137,253.61186
138,253.73622
139,253.84625
140,253.93854
141,254.0173
142,254.09334
143,254.18097
144,254.29315
145,254.43694
146,254.6109
147,254.8055
148,255.00648
149,255.20021
150,255.37782
151,255.53743
152,255.6826
153,255.81873
154,255.94937
155,256.07422
156,256.1894
157,256.28943
