,0
0,347.57806
1,347.6057
2,347.62244
3,347.6218
4,347.60526
5,347.58176
6,347.5647
7,347.56613
8,347.59225
9,347.6403
10,347.7004
11,347.75842
12,347.80164
13,347.8233
14,347.82422
15,347.81326
16,347.80347
17,347.80887
18,347.84152
19,347.9091
20,348.01413
21,348.1545
22,348.32324
23,348.51038
24,348.70444
25,348.8929
26,349.06445
27,349.20847
28,349.31586
29,349.37985
30,349.39688
31,349.368
32,349.29953
33,349.202
34,349.08755
35,348.96677
36,348.84338
37,348.71243
38,348.5601
39,348.3675
40,348.11685
41,347.7971
42,347.40814
43,346.95895
44,346.46313
45,345.9331
46,345.3746
47,344.78476
48,344.1543
49,343.46982
50,342.71954
51,341.8965
52,341.0005
53,340.03757
54,339.01733
55,337.9492
56,336.83975
57,335.6926
58,334.50906
59,333.29135
60,332.04376
61,330.774
62,329.4926
63,328.21048
64,326.93472
65,325.66406
66,324.38626
67,323.07748
68,321.7086
69,320.25327
70,318.69736
71,317.0439
72,315.3128
73,313.5341
74,311.7406
75,309.9622
76,308.2218
77,306.5364
78,304.91837
79,303.37656
80,301.91772
81,300.54672
82,299.267
83,298.08096
84,296.99252
85,296.0078
86,295.13754
87,294.3973
88,293.80435
89,293.37372
90,293.1119
91,293.0118
92,293.05127
93,293.19562
94,293.4032
95,293.63214
96,293.8475
97,294.02652
98,294.16284
99,294.26892
100,294.3725
101,348.54898
102,348.68762
103,348.8045
104,348.8818
105,348.91177
106,348.89706
107,348.85095
108,348.79337
109,348.74585
110,348.7269
111,348.74734
112,348.80832
113,348.90182
114,349.01382
115,349.12744
116,349.22745
117,349.30188
118,349.34366
119,349.35043
120,349.3232
121,349.2659
122,349.1834
123,349.08032
124,348.95966
125,348.8209
126,348.65958
127,348.46854
128,348.23828
129,347.96033
130,347.6297
131,347.245
132,346.80978
133,346.32947
134,345.80984
135,345.2538
136,344.66095
137,344.02673
138,343.34442
139,342.6078
140,341.81284
141,340.95932
142,340.0496
143,339.0873
144,338.07477
145,337.01254
146,335.9005
147,334.7412
148,333.54266
149,332.32056
150,331.0962
151,329.89142
152,328.72308
153,327.5982
154,326.51367
155,325.4604
156,324.42938
157,323.41818
158,322.43185
159,321.4806
160,320.57364
161,319.71487
162,318.8988
163,318.11203
164,317.33652
165,316.5553
166,315.75723
167,314.94058
168,314.11316
169,313.2907
170,312.49268
171,311.73856
172,311.045
173,310.42282
174,309.87485
175,309.39526
176,308.97073
177,308.58304
178,308.21487
179,307.8549
180,307.50153
181,307.16516
182,306.86572
183,306.62915
184,306.48093
185,306.44
186,306.5116
187,306.68463
188,306.93228
189,307.2181
190,307.5059
191,307.76865
192,307.99353
193,308.1806
194,308.33664
195,308.4671
196,308.57065
197,308.63824
198,308.6584
199,308.62448
200,308.54282
201,308.43323
202,347.44473
203,347.43555
204,347.4331
205,347.43668
206,347.44336
207,347.4479
208,347.44608
209,347.43674
210,347.42398
211,347.41672
212,347.42603
213,347.4597
214,347.5163
215,347.58255
216,347.6342
217,347.64392
218,347.59076
219,347.46783
220,347.28436
221,347.06137
222,346.82425
223,346.59543
224,346.39133
225,346.2209
226,346.08502
227,345.97778
228,345.8871
229,345.7978
230,345.69626
231,345.57156
232,345.41797
233,345.23273
234,345.01346
235,344.75668
236,344.45688
