,0
0,399.8436
1,399.8792
2,399.90863
3,399.92654
4,399.9303
5,399.92035
6,399.90027
7,399.87616
8,399.85498
9,399.84296
10,399.84363
11,399.85706
12,399.8797
13,399.90582
14,399.92902
15,399.9437
16,399.9463
17,399.93536
18,399.91205
19,399.87924
20,399.84177
21,399.80496
22,399.77444
23,399.75436
24,399.74704
25,399.75198
26,399.76663
27,399.78723
28,399.81006
29,399.833
30,399.8556
31,399.87872
32,399.90317
33,399.9284
34,399.95172
35,399.96872
36,399.97488
37,399.96747
38,399.94684
39,399.91632
40,399.88068
41,399.84454
42,399.8104
43,399.77863
44,399.74792
45,399.71698
46,399.685
47,399.65265
48,399.62094
49,399.59045
50,399.56027
51,399.52753
52,399.4883
53,399.4389
54,399.3772
55,399.30374
56,399.2219
57,399.13705
58,399.05502
59,398.98032
60,398.91418
61,398.85382
62,398.79282
63,398.72232
64,398.6334
65,398.519
66,398.37534
67,398.20148
68,397.99896
69,397.77072
70,397.52054
71,397.25284
72,396.97247
73,396.6845
74,396.39368
75,396.10428
76,395.82034
77,395.54553
78,395.2833
79,395.0365
80,394.80734
81,394.59708
82,394.40677
83,394.23715
84,394.08905
85,393.96335
86,393.85983
87,393.77707
88,393.71124
89,393.6572
90,393.60913
91,393.56223
92,393.5136
93,393.46246
94,393.40976
95,393.35724
96,393.30667
97,393.25952
98,393.21655
99,393.17755
100,393.14154
101,400.21405
102,400.2079
103,400.20285
104,400.19925
105,400.19647
106,400.19302
107,400.18665
108,400.1751
109,400.1571
110,400.13278
111,400.1038
112,400.07233
113,400.04007
114,400.00696
115,399.97095
116,399.92834
117,399.87524
118,399.80838
119,399.7266
120,399.6307
121,399.5238
122,399.41043
123,399.2955
124,399.18314
125,399.07538
126,398.97134
127,398.86707
128,398.75656
129,398.63336
130,398.49243
131,398.33142
132,398.1512
133,397.9549
134,397.74673
135,397.53052
136,397.30927
137,397.08466
138,396.85782
139,396.62946
140,396.39975
141,396.16797
142,395.9316
143,395.68567
144,395.42273
145,395.13318
146,394.8063
147,394.43118
148,393.99792
149,393.49802
150,392.92432
151,392.27042
152,391.52966
153,390.6946
154,389.75787
155,388.7143
156,387.56387
157,386.31464
158,384.98364
159,383.59473
160,382.17484
161,380.74878
162,379.33545
163,377.9466
164,376.5888
165,375.26727
166,373.98917
167,372.76492
168,371.60645
169,370.52353
170,369.52078
171,368.59607
172,367.74246
173,366.95154
174,366.21722
175,365.5382
176,364.91763
177,364.36163
178,363.87592
179,363.4635
180,363.12338
181,362.85077
182,362.63855
183,362.47906
184,362.3651
185,362.2903
186,362.2491
187,362.23575
188,362.24442
189,362.26904
190,362.30423
191,362.34558
192,362.39078
193,362.43958
194,362.49365
195,362.55634
196,362.63126
197,362.72168
198,362.8292
199,362.95343
200,363.09113
201,363.2372
202,399.59995
203,399.58264
204,399.5692
205,399.56168
206,399.55975
207,399.5608
208,399.56076
209,399.55612
210,399.5445
211,399.526
212,399.50278
213,399.47806
214,399.45486
215,399.43497
216,399.4185
217,399.4048
218,399.39377
219,399.38712
220,399.38797
221,399.40024
222,399.42667
223,399.46704
224,399.51688
225,399.5681
226,399.61084
227,399.6366
228,399.64117
229,399.62665
230,399.60046
231,399.57278
232,399.55295
233,399.5465
234,399.55423
235,399.57272
236,399.59647
237,399.61948
238,399.63562
239,399.63852
240,399.62122
241,399.57584
242,399.4944
243,399.37018
244,399.19904
245,398.9801
246,398.71625
247,398.41376
248,398.08167
249,397.73114
250,397.37454
251,397.02438
252,396.6927
253,396.38968
254,396.12347
255,395.89963
256,395.7209
257,395.5874
258,395.49582
259,395.4398
260,395.41135
261,395.40314
262,395.41162
263,395.43823
264,395.488
265,395.56528
266,395.6691
267,395.79083
268,395.91544
269,396.02676
270,396.11365
271,396.17395
272,396.2137
273,396.24265
274,396.26703
275,396.2852
276,396.28745
277,396.26062
278,396.1944
279,396.08618
280,395.94254
281,395.7773
282,395.60724
283,395.44788
284,395.30988
285,395.19724
286,395.1074
287,395.0331
288,394.96603
289,394.89957
290,394.8311
291,394.76215
292,394.69717
293,394.64148
294,394.59894
295,394.5704
296,394.5529
297,394.5399
298,394.52304
299,394.49472
300,394.45084
301,394.3926
302,394.32632
303,400.4187
304,400.35562
305,400.3006
306,400.25836
307,400.22928
308,400.20963
309,400.19302
310,400.1727
311,400.14352
312,400.1032
313,400.05264
314,399.99466
315,399.93298
316,399.87036
317,399.80746
318,399.74246
319,399.67178
320,399.59137
321,399.49884
322,399.3941
323,399.2798
324,399.15997
325,399.03827
326,398.9158
327,398.79004
328,398.6544
329,398.49915
330,398.3133
331,398.0869
332,397.81305
333,397.48892
334,397.1155
335,396.69562
336,396.23135
337,395.72156
338,395.1602
339,394.53702
340,393.84012
341,393.05948
342,392.19067
343,391.23657
344,390.20627
345,389.11206
346,387.96527
347,386.77362
348,385.54028
349,384.26624
350,382.9533
351,381.607
352,380.23743
353,378.85773
354,377.48108
355,376.11765
356,374.77332
357,373.45108
358,372.15375
359,370.88654
360,369.65747
361,368.4761
362,367.3503
363,366.28387
364,365.27545
365,364.32004
366,363.41132
367,362.5444
368,361.71725
369,360.9303
370,360.18503
371,359.4826
372,358.82285
373,358.20438
374,357.62558
375,357.0846
376,356.57904
377,356.10507
378,355.65714
379,355.2287
380,354.8149
381,354.41495
382,354.03378
383,353.6816
384,353.37085
385,353.11194
386,352.9095
387,352.76007
388,352.6529
389,352.57263
390,352.5035
391,352.43268
392,352.35233
393,352.2603
394,352.15906
395,352.05383
396,351.951
397,351.8567
398,351.77557
399,351.71027
400,351.6611
401,351.6265
402,351.60297
403,351.5858
404,400.62946
405,400.61615
406,400.6075
407,400.6075
408,400.6187
409,400.64172
410,400.67435
411,400.7112
412,400.7452
413,400.76913
414,400.7782
415,400.77133
416,400.7515
417,400.7241
418,400.69516
419,400.66864
420,400.64606
421,400.62595
422,400.60568
423,400.5831
424,400.5578
425,400.53104
426,400.5053
427,400.48285
428,400.46478
429,400.45035
430,400.43756
431,400.4235
432,400.4053
433,400.38083
434,400.3489
435,400.3096
436,400.26392
437,400.21368
438,400.16068
439,400.10593
440,400.04877
441,399.9867
442,399.91525
443,399.82928
444,399.72437
445,399.59848
446,399.45325
447,399.2941
448,399.12912
449,398.96643
450,398.8112
451,398.66376
452,398.51877
453,398.36682
454,398.19736
455,398.00232
456,397.77887
457,397.53064
458,397.2664
459,396.99756
460,396.73474
461,396.4851
462,396.251
463,396.03018
464,395.81763
465,395.60727
466,395.39404
467,395.17465
468,394.94846
469,394.71698
470,394.48285
471,394.24765
472,394.0095
473,393.7615
474,393.49274
475,393.19125
476,392.8492
477,392.46753
478,392.057
479,391.6359
480,391.22388
481,390.83545
482,390.475
483,390.13693
484,389.8088
485,389.4775
486,389.13455
487,388.78006
488,388.4223
489,388.0753
490,387.7541
491,387.4705
492,387.22974
493,387.0299
494,386.86316
495,386.7192
496,386.58908
497,386.46823
498,386.358
499,386.26483
500,386.19693
501,386.16116
502,386.15942
503,386.18774
504,386.23602
505,400.28876
506,400.32556
507,400.35446
508,400.37015
509,400.3716
510,400.36237
511,400.34882
512,400.33746
513,400.33298
514,400.33682
515,400.3469
516,400.35904
517,400.36816
518,400.3703
519,400.36316
520,400.3467
521,400.3226
522,400.294
523,400.26456
524,400.23822
525,400.21805
526,400.20554
527,400.19986
528,400.1982
529,400.19623
530,400.18954
531,400.17532
532,400.15314
533,400.12524
534,400.09558
535,400.068
536,400.0442
537,400.0227
538,399.99844
539,399.9637
540,399.90994
541,399.82996
542,399.71942
543,399.57858
544,399.41232
545,399.22958
546,399.0423
547,398.86295
548,398.7023
549,398.567
550,398.45776
551,398.36865
552,398.2881
553,398.20117
554,398.09366
555,397.9562
556,397.78738
557,397.59485
558,397.39316
559,397.19995
560,397.03098
561,396.89664
562,396.79965
563,396.73578
564,396.6955
565,396.66757
566,396.64072
567,396.6062
568,396.5578
569,396.49152
570,396.40552
571,396.2999
572,396.17722
573,396.04254
574,395.90274
575,395.76392
576,395.6292
577,395.49655
578,395.3581
579,395.203
580,395.02087
581,394.80652
582,394.56216
583,394.2978
584,394.02798
585,393.76788
586,393.5283
587,393.31384
588,393.1233
589,392.95175
590,392.79407
591,392.64682
592,392.50885
593,392.38
594,392.26013
595,392.14783
596,392.041
597,391.93765
598,391.8377
599,391.7435
600,391.65985
601,391.59225
602,391.5453
603,391.5204
604,391.51523
605,391.52374
606,400.2496
607,400.2109
608,400.17728
609,400.15283
610,400.13947
611,400.1365
612,400.14117
613,400.14886
614,400.15527
615,400.15714
616,400.15375
617,400.14664
618,400.13907
619,400.13492
620,400.1372
621,400.1483
622,400.1691
623,400.1997
624,400.23935
625,400.28564
626,400.3346
627,400.38028
628,400.41537
629,400.43268
630,400.42676
631,400.39542
632,400.34003
633,400.2651
634,400.177
635,400.08185
636,399.98413
637,399.88617
638,399.7884
639,399.69046
640,399.59174
641,399.49164
642,399.38852
643,399.27853
644,399.15488
645,399.0085
646,398.83014
647,398.61258
648,398.35355
649,398.0562
650,397.7293
651,397.38492
652,397.03632
653,396.69556
654,396.37222
655,396.07205
656,395.79636
657,395.54126
658,395.29733
659,395.0506
660,394.7843
661,394.48187
662,394.12958
663,393.71808
664,393.24243
665,392.7018
666,392.09937
667,391.44254
668,390.7436
669,390.0181
670,389.2828
671,388.55197
672,387.8347
673,387.1339
674,386.44736
675,385.77075
676,385.10034
677,384.43454
678,383.7736
679,383.11835
680,382.46902
681,381.82486
682,381.18457
683,380.54697
684,379.91064
685,379.2739
686,378.63406
687,377.9879
688,377.33307
689,376.66998
690,376.0039
691,375.34543
692,374.7095
693,374.11328
694,373.5723
695,373.09695
696,372.69092
697,372.35007
698,372.06427
699,371.82074
700,371.6069
701,371.41397
702,371.23718
703,371.07584
704,370.93106
705,370.80374
706,370.69257
707,400.9578
708,400.88947
709,400.83807
710,400.81537
711,400.82565
712,400.86533
713,400.92462
714,400.99088
715,401.0515
716,401.09665
717,401.11996
718,401.1187
719,401.09326
720,401.04602
721,400.98108
722,400.9035
723,400.81885
724,400.7326
725,400.64883
726,400.56927
727,400.49213
728,400.4118
729,400.32004
730,400.2076
731,400.0674
732,399.8963
733,399.6964
734,399.474
735,399.2368
736,398.98975
737,398.73184
738,398.45508
739,398.14545
740,397.78787
741,397.37082
742,396.88998
743,396.34897
744,395.75607
745,395.1198
746,394.4442
747,393.72665
748,392.95795
749,392.12564
750,391.21902
751,390.2332
752,389.1714
753,388.04437
754,386.86734
755,385.65576
756,384.4209
757,383.1675
758,381.89346
759,380.59204
760,379.25632
761,377.88373
762,376.48013
763,375.0605
764,373.64716
765,372.2655
766,370.93887
767,369.68393
768,368.50815
769,367.4094
770,366.37717
771,365.39624
772,364.45084
773,363.52777
774,362.61948
775,361.72433
776,360.84668
777,359.9953
778,359.18237
779,358.42154
780,357.72647
781,357.10812
782,356.573
783,356.12033
784,355.74203
785,355.42328
786,355.14594
787,354.89313
788,354.65323
789,354.42245
790,354.20425
791,354.00623
792,353.83624
793,353.69846
794,353.5916
795,353.5091
796,353.44144
797,353.37888
798,353.31433
799,353.2449
800,353.17203
801,353.10056
802,353.03662
803,352.9857
804,352.951
805,352.93256
806,352.9275
807,352.9307
808,400.36404
809,400.4007
810,400.42963
811,400.44574
812,400.44806
813,400.4395
814,400.42572
815,400.41287
816,400.40555
817,400.40524
818,400.41022
819,400.416
820,400.41733
821,400.41022
822,400.39346
823,400.36948
824,400.3431
825,400.32013
826,400.30493
827,400.29907
828,400.3007
829,400.30518
830,400.30655
831,400.29962
832,400.28113
833,400.2507
834,400.2106
835,400.16498
836,400.11798
837,400.07254
838,400.0291
839,399.98538
840,399.93695
