,0
0,344.20932
1,344.22467
2,344.23383
3,344.2319
4,344.2167
5,344.18933
6,344.15375
7,344.11588
8,344.0821
9,344.05753
10,344.04495
11,344.04532
12,344.057
13,344.0769
14,344.10205
15,344.12933
16,344.15674
17,344.18448
18,344.21396
19,344.24872
20,344.29465
21,344.3593
22,344.45035
23,344.57324
24,344.7296
25,344.91342
26,345.11176
27,345.30496
28,345.47156
29,345.5934
30,345.6602
31,345.673
32,345.64383
33,345.59183
34,345.5386
35,345.50204
36,345.49246
37,345.51144
38,345.55338
39,345.6083
40,345.66412
41,345.70828
42,345.72836
43,345.71268
44,345.64996
45,345.53018
46,345.34567
47,345.09073
48,344.76096
49,344.3535
50,343.86578
51,343.2975
52,342.65054
53,341.93
54,341.14383
55,340.30087
56,339.40952
57,338.47632
58,337.50583
59,336.50092
60,335.465
61,334.40027
62,333.3069
63,332.17932
64,331.0033
65,329.75595
66,328.4096
67,326.93985
68,325.3353
69,323.60397
70,321.7742
71,319.8879
72,317.98975
73,316.11716
74,314.29443
75,312.5328
76,310.8351
77,309.20294
78,307.64145
79,306.16327
80,304.78708
81,303.53494
82,302.42697
83,301.4773
84,300.69046
85,300.0598
86,299.56992
87,299.19943
88,298.92627
89,298.73233
90,298.60602
91,298.54123
92,298.53372
93,298.57523
94,298.6497
95,298.7329
96,298.79868
97,298.82678
98,298.81055
99,298.75882
100,298.69092
101,342.62064
102,342.66092
103,342.7266
104,342.83707
105,343.0015
106,343.21686
107,343.46918
108,343.73764
109,343.99945
110,344.23495
111,344.43195
112,344.5876
113,344.7078
114,344.80423
115,344.8904
116,344.9768
117,345.06845
118,345.1634
119,345.2546
120,345.33258
121,345.38934
122,345.42004
123,345.42456
124,345.40616
125,345.36847
126,345.31418
127,345.2418
128,345.1467
129,345.022
130,344.86142
131,344.66095
132,344.42056
133,344.14362
134,343.83374
135,343.4931
136,343.1188
137,342.7026
138,342.23117
139,341.6899
140,341.06656
141,340.35486
142,339.55722
143,338.68384
144,337.75073
145,336.7753
146,335.77264
147,334.75113
148,333.712
149,332.6501
150,331.5578
151,330.42926
152,329.26498
153,328.07358
154,326.8719
155,325.68057
156,324.52002
157,323.40448
158,322.33978
159,321.3226
160,320.34375
161,319.39197
162,318.4592
163,317.54327
164,316.64944
165,315.7894
166,314.97708
167,314.22577
168,313.54422
169,312.93448
170,312.39224
171,311.90848
172,311.4723
173,311.07455
174,310.70972
175,310.37607
176,310.0753
177,309.8104
178,309.5841
179,309.39978
180,309.26105
181,309.1729
182,309.14032
183,309.16394
184,309.23627
185,309.34058
186,309.45337
187,309.5522
188,309.62173
189,309.6578
190,309.6663
191,309.65875
192,309.64822
193,309.64636
194,309.663
195,309.70544
196,309.77878
197,309.88528
198,310.0243
199,310.19183
200,310.38104
201,310.58215
202,345.88437
203,345.90753
204,345.92932
205,345.94907
206,345.96704
207,345.98563
208,346.00803
209,346.03687
210,346.0726
211,346.11234
212,346.14926
213,346.17474
214,346.18
215,346.15933
216,346.11145
217,346.03906
218,345.94733
219,345.8425
220,345.7314
221,345.62244
222,345.52496
223,345.4483
224,345.39978
225,345.3828
226,345.3957
227,345.43262
228,345.4854
229,345.54517
230,345.60272
231,345.65115
232,345.6852
233,345.70322
234,345.70654
235,345.6992
236,345.6856
237,345.66898
238,345.64905
239,345.623
240,345.5885
241,345.5467
242,345.50403
243,345.471
244,345.45712
245,345.46396
246,345.48123
247,345.4868
248,345.45392
249,345.36127
250,345.20215
251,344.98856
252,344.7464
253,344.50616
254,344.29102
255,344.1088
256,343.9507
257,343.79584
258,343.62048
259,343.40756
260,343.15268
261,342.866
262,342.5687
263,342.28754
264,342.04626
265,341.85898
266,341.72565
267,341.63156
268,341.5514
269,341.45752
270,341.3285
271,341.1564
272,340.9497
273,340.73016
274,340.5248
275,340.35645
276,340.23587
277,340.15875
278,340.10843
279,340.06326
280,340.00513
281,339.92563
282,339.82828
283,339.7263
284,339.63715
285,339.5767
286,339.55414
287,339.56903
288,339.61157
289,339.66486
290,339.70984
291,339.73022
292,339.71783
293,339.6744
294,339.6104
295,339.54004
296,339.47528
297,339.4212
298,339.37463
299,339.32715
300,339.2706
301,339.2017
302,339.12442
303,344.2642
304,344.20987
305,344.1925
306,344.2393
307,344.3603
308,344.54788
309,344.7782
310,345.01895
311,345.23715
312,345.40826
313,345.52048
314,345.57715
315,345.59213
316,345.58417
317,345.5697
318,345.55783
319,345.54935
320,345.53897
321,345.52017
322,345.48877
323,345.44525
324,345.3932
325,345.33676
326,345.27795
327,345.21396
328,345.1369
329,345.03513
330,344.8947
331,344.7038
332,344.45264
333,344.13693
334,343.75754
335,343.31833
336,342.82523
337,342.28348
338,341.69742
339,341.0705
340,340.4067
341,339.71246
342,338.99673
343,338.26984
344,337.5411
345,336.81616
346,336.0954
347,335.37534
348,334.65143
349,333.92184
350,333.19092
351,332.4702
352,331.77646
353,331.12872
354,330.54385
355,330.03088
356,329.5878
357,329.20023
358,328.84366
359,328.489
360,328.10916
361,327.6861
362,327.21347
363,326.69696
364,326.1495
365,325.58545
366,325.0154
367,324.443
368,323.8664
369,323.28143
370,322.6862
371,322.086
372,321.4943
373,320.93115
374,320.4188
375,319.97607
376,319.6136
377,319.33078
378,319.11578
379,318.94714
380,318.79785
381,318.64124
382,318.45663
383,318.2356
384,317.98553
385,317.72983
386,317.5024
387,317.34012
388,317.27164
389,317.30902
390,317.44376
391,317.64838
392,317.88358
393,318.10913
394,318.2933
395,318.41925
396,318.48682
397,318.50928
398,318.50684
399,318.49966
400,318.50247
401,318.521
402,318.5532
403,318.59164
404,344.84323
405,344.8691
406,344.8854
407,344.8859
408,344.8679
409,344.83414
410,344.79
411,344.74332
412,344.70044
413,344.66547
414,344.64093
415,344.6263
416,344.62073
417,344.62244
418,344.63095
419,344.64563
420,344.66702
421,344.69495
422,344.72928
423,344.76846
424,344.8102
425,344.8515
426,344.88925
427,344.9209
428,344.94473
429,344.96072
430,344.97015
431,344.97504
432,344.97714
433,344.97723
434,344.9745
435,344.9663
436,344.9495
437,344.92172
438,344.882
439,344.8308
440,344.76944
441,344.6968
442,344.60956
443,344.50055
444,344.36005
445,344.17783
446,343.94598
447,343.661
448,343.3236
449,342.93906
450,342.51407
451,342.0541
452,341.56265
453,341.0398
454,340.48416
455,339.8944
456,339.271
457,338.61642
458,337.9343
459,337.22806
460,336.49896
461,335.746
462,334.96707
463,334.1604
464,333.32562
465,332.465
466,331.58032
467,330.67224
468,329.73773
469,328.77008
470,327.76096
471,326.70358
472,325.59644
473,324.44443
474,323.25888
475,322.05307
476,320.8396
477,319.62482
478,318.4101
479,317.19278
480,315.9709
481,314.74792
482,313.53458
483,312.34738
484,311.20474
485,310.12183
486,309.10684
487,308.1606
488,307.27917
489,306.45877
490,305.69977
491,305.00815
492,304.39386
493,303.86542
494,303.425
495,303.06503
496,302.76825
497,302.51108
498,302.2688
499,302.02222
500,301.76074
501,301.48422
502,301.20026
503,300.92044
504,300.6553
505,342.79404
506,342.83887
507,342.88455
508,342.9333
509,342.98944
510,343.0596
511,343.15054
512,343.2672
513,343.41116
514,343.5792
515,343.76404
516,343.95468
517,344.13876
518,344.3039
519,344.43945
520,344.5384
521,344.59818
522,344.6213
523,344.61444
524,344.5869
525,344.54816
526,344.50595
527,344.4658
528,344.43057
529,344.4026
530,344.38382
531,344.37753
532,344.38715
533,344.41507
534,344.46158
535,344.5238
536,344.59518
537,344.66678
538,344.72867
539,344.77203
540,344.79013
541,344.77948
542,344.73904
543,344.6696
544,344.5716
545,344.44543
546,344.29108
547,344.10947
548,343.90317
549,343.67807
550,343.44275
551,343.20654
552,342.97675
553,342.75653
554,342.54346
555,342.3299
556,342.10574
557,341.86182
558,341.5926
559,341.29803
560,340.9829
561,340.65564
562,340.32526
563,340.00034
564,339.68747
